best epoch, train loss, train accuracy, valid loss, valid accuracy, test loss, test accuracy
039, 11.20, 100.00, 11.20, 100.00, 11.20, 100.00
039, 10.93, 100.00, 10.46, 100.00, 10.46, 100.00
079, 16.75, 100.00, 16.73, 100.00, 16.73, 100.00
069, 3.80, 100.00, 3.80, 100.00, 3.80, 100.00
000, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
000, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
000, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
000, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
000, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
000, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
000, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
000, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
000, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
000, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
006, 23.94, 100.00, 19.87, 100.00, 19.87, 100.00
001, 23.94, 100.00, 23.94, 100.00, 23.94, 100.00
000, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
000, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
000, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
000, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
066, 19.86, 100.00, 19.86, 100.00, 19.86, 100.00
006, 19.92, 100.00, 19.86, 100.00, 19.86, 100.00
079, 99.25, 100.00, 99.25, 100.00, 99.25, 100.00
079, 6.70, 100.00, 6.69, 100.00, 6.69, 100.00
079, 21.69, 100.00, 21.69, 100.00, 21.69, 100.00
079, 3.04, 100.00, 3.03, 100.00, 3.03, 100.00
001, 1477.39, 100.00, 1579.99, 100.00, 1579.98, 100.00
002, 1301.92, 100.00, 1192.09, 100.00, 1192.09, 100.00
001, 1354.74, 100.00, 1375.94, 100.00, 1375.94, 100.00
001, 1633.46, 100.00, 1761.69, 100.00, 1761.69, 100.00
001, 1569.47, 100.00, 1518.97, 100.00, 1518.97, 100.00
001, 1249.77, 100.00, 1190.57, 100.00, 1190.57, 100.00
001, 1479.05, 100.00, 1512.80, 100.00, 1512.80, 100.00
079, 3.51, 100.00, 3.51, 100.00, 3.51, 100.00
079, 3.54, 100.00, 3.54, 100.00, 3.54, 100.00
079, 4.47, 100.00, 4.47, 100.00, 4.47, 100.00
079, 2.38, 100.00, 2.38, 100.00, 2.38, 100.00
079, 16.61, 100.00, 16.61, 100.00, 16.61, 100.00
079, 3.17, 100.00, 3.17, 100.00, 3.17, 100.00
075, 3.82, 100.00, 3.82, 100.00, 3.82, 100.00
079, 12.01, 100.00, 12.00, 100.00, 12.00, 100.00
079, 5.32, 100.00, 5.31, 100.00, 5.31, 100.00
079, 13.63, 100.00, 13.63, 100.00, 13.63, 100.00
079, 4.26, 100.00, 4.26, 100.00, 4.26, 100.00
